Variável,Mean(ts),Std(ts),f_0(ts)
7380,0.8855000000000001,0.05444951790420187,0.7766009641915963
7381,0.8899999999999999,0.053033008588991064,0.7839339828220178
7382,0.8850000000000001,0.05172040216394301,0.7815591956721141
7383,0.8855000000000001,0.05305421755148218,0.7793915648970358
7384,0.8902500000000001,0.05290262280832586,0.7844447543833484
7385,0.887,0.049934957694985585,0.7871300846100289
7386,0.88875,0.04546633369868303,0.797817332602634
7387,0.8892499999999999,0.05282695808013178,0.7835960838397363
7388,0.8852500000000001,0.05374651151470205,0.777756976970596
7389,0.8935000000000001,0.04424646878565565,0.8050070624286888
7390,0.8845000000000001,0.052175185672884775,0.7801496286542305
7391,0.8799999999999999,0.054543560573178565,0.7709128788536428
7392,0.9000000000000001,0.046770717334674264,0.8064585653306516
7393,0.8945000000000001,0.05215122242095578,0.7901975551580885
7394,0.8827500000000001,0.0521650026358669,0.7784199947282664
7395,0.87175,0.05630885809532991,0.7591322838093402
7396,0.883,0.051097945164164875,0.7808041096716702
7397,0.8935,0.05020209158989295,0.793095816820214
7398,0.888,0.05344155686354956,0.7811168862729009
7399,0.88725,0.05261831905334871,0.7820133618933025
7400,0.8870000000000001,0.048150804770013975,0.7906983904599721
7401,0.8819999999999999,0.04345687517528154,0.7950862496494369
7402,0.8832500000000002,0.05111934565308911,0.781011308693822
7403,0.8919999999999999,0.05230678732248808,0.7873864253550238
7404,0.88325,0.05350876096491117,0.7762324780701777
7405,0.88925,0.047730362454102525,0.793789275091795
7406,0.8892500000000001,0.045449834983198795,0.7983503300336026
7407,0.8785000000000001,0.048479377058704046,0.781541245882592
7408,0.8845000000000001,0.05598883817333594,0.7725223236533282
7409,0.8842500000000001,0.05119265083974457,0.781864698320511
7410,0.8895000000000002,0.05305421755148219,0.7833915648970358
7411,0.88575,0.05199218691303531,0.7817656261739294
7412,0.8859999999999999,0.04800000000000001,0.7899999999999999
7413,0.8987500000000002,0.045466333698683026,0.8078173326026341
7414,0.88375,0.04800716092417881,0.7877356781516425
7415,0.88425,0.052279895753530335,0.7796902084929394
7416,0.88275,0.04920556370980827,0.7843388725803835
7417,0.8882500000000002,0.052375447492121724,0.7834991050157567
7418,0.8897499999999999,0.04388835266901686,0.8019732946619662
